uid,speech_id,party,term,campaign,person,text,gold_label
ID20493,2008-10-06-albquerque-new-mexico,rep,2008,2008rep,McCain,"You don't have to hope that things will change when you vote for me. You know things will change, because I have been fighting for change in Washington my whole career. I've been fighting for you my whole life. That's what I'm going to do as President of the United States. Fight for you and put the government back on the side of the people.",1
ID16171,2016-10-12-pavilion-ocala-florida,rep,2016,2016rep,Trump,"And I said, this system is rigged! And it was, but we figured out how to win, right? That's what you need.",1
ID4434,2012-09-30-vegas-nevada-1,dem,2012,2012dem,Obama,And that's what you understood back in 2008. You're the reason seniors across Nevada are averaging nearly $600 less on their medicines because of health care reform. You did that. You're the reason that students—thousands of students at UNLV and schools across this State—have more help paying for college. You made that happen. You're the reason why two grandparents in Reno could refinance their mortgage and keep their piece of the American Dream.,0
ID8511,2004-10-23-remarks-jacksonville-florida,rep,2004,2004rep,Bush,"The choice in this election could not be clearer. You cannot lead our Nation to decisive victory, on which the security of every American family depends, if you do not see the true dangers of the post-September the 11th world. My opponent has a September the 10th point of view. At his convention, he declared that his strategy will be to respond to attacks after America is hit.",0
ID15449,2016-11-02-amphitheater-miami-florida,rep,2016,2016rep,Trump,"She wants to blame everyone else for her mounting legal troubles, but she really has no one to blame but herself. Hillary is the one who set up the illegal private e-mail server to shield her criminal activity. The woman screaming exactly, exactly, it is exactly. Hillary is the one who engaged in a corrupt pay-for-play scheme at the State Department and who ripped off the people of Haiti, the people of Haiti were ripped off.",1
ID18463,2020-09-13-rally-henderson-nevada,rep,2020,2020rep,Trump,"And I wanna thank for that, Steve Grammas, who's with us tonight. Where's Steve? Is Steve here? Steve, thank you. Thank you. That's a big deal. Make sure they get out and vote, Steve, because they're playing around with the ballots. Okay? You know your governor.",0
ID3326,2008-10-27-campaign-closing-argument,dem,2008,2008dem,Obama,"The question in this election is not """"""""""""""""Are you better off than you were four years ago?"""""""""""""""" We know the answer to that. The real question is, """"""""""""""""Will this country be better off four years from now?""""""""""""""""",0
ID9916,2004-10-19-port-richey-florida,rep,2004,2004rep,Bush,"I have a different view. I want to help our small businesses, not saddle them with a bunch of Government rules. The choice is clear. My opponent wants to move in the direction of Government-run health care. I believe health decisions should be made by doctors and patients, not by officials in Washington, DC. He can run, but he cannot hide.",0
ID13066,2008-10-20-remarks-belton-missouri,rep,2008,2008rep,McCain,I'm not going to spend $750 billion dollars of your money just bailing out the Wall Street bankers and brokers who got us into this mess. I'm going to make sure we take care of the people who were devastated by the excesses of Wall Street and Washington. I have a plan to protect the value of your home and get it rising again by buying up bad mortgages and refinancing them so if your neighbor defaults he doesn't bring down the value of your house with him.,1
ID7783,2004-10-28-saginaw-michigan-0,rep,2004,2004rep,Bush,"Over the next 4 years, I will defend the values that are important for our families and our Nation. Marriage and family are the foundations of our society, and we will keep them strong. I believe that this society must promote a culture of life. I was proud to sign the ban on partial-birth abortion. I stand and will continue to stand for the appointment of Federal judges who know the difference between personal opinion and the strict interpretation of the law.",0
ID10027,2004-10-19-petersburg-florida-0,rep,2004,2004rep,Bush,"I want to thank my friend Lee Greenwood, who's here. I want to thank all the grassroots activists for what you're going to do today and for the next 2 weeks to turn out the vote. There is no doubt in my mind, with your help, we'll carry Florida again and win a great victory in November.",0
ID8798,2004-09-13-creek-michigan-0,rep,2004,2004rep,Bush,"In Iraq, there's a strong Prime Minister. There's a National Council. National elections are scheduled in January. It wasn't all that long ago we discovered mass graves where the tyrant just killed people whimsically. And now they're headed toward national elections. We're going to stand with the people of Afghanistan and Iraq, because when America gives its word, America will keep its word.",0
ID20167,2020-10-31-detroit-michigan-0,dem,2020,2020dem,Biden,"The President likes to portrays himself as a tough guy, a macho man. But when's the last time you saw the President of the United States literally being laughed at by world leaders when he spoke at the United Nations? When's the last time you saw a President of the United States being openly mocked by our allies at a NATO conference?",0
ID15401,2016-10-20-fairgrounds-delaware-ohio,rep,2016,2016rep,Trump,"Years ago there was a show called the $64,000 question – he got the questions in advance, his life was ruined. This is even bigger, because we are playing for the presidency of the United States. Hillary Clinton is the most corrupt person ever to seek the office of the Presidency.",1
ID7763,2004-10-28-saginaw-michigan-0,rep,2004,2004rep,Bush,Audience members. Boo-o-o! The President. I made my choice. I'm standing with the doctors of Michigan. I'm standing with the patients of Michigan. I am for medical liability reform—now.,0
ID886,2012-11-02-campaign-rally-springfield,dem,2012,2012dem,Obama,"And you can't try to scare people. Listen, this is not a game. These are people's jobs. These are people's lives. The auto industry, they spend a lot of money advertising and branding and letting folks know that we're back and we're here in America and we're making American cars with American workers. And now, suddenly, you've got a guy going out there saying something that's not true? You don't scare hard-working Americans just to scare up some votes. That's not what being President is about.",0
ID2426,2008-09-24-remarks-dunedin-florida,dem,2008,2008dem,Obama,"There are many to blame for causing the crisis we are in, and that starts with the speculators on Wall Street who gamed the system and the regulators in Washington who looked the other way. But now that we're here, every American has a stake in solving this crisis and saving our financial system from collapse. Because if we don't act, your jobs, your life savings, and your economic security will be put at risk.",1
ID15539,2016-10-28-manchester-new-hampshire,rep,2016,2016rep,Trump,"But real change also means getting rid of the corruption in Washington, and again, maybe that's happened. Wow. We have a big day.",1
ID13082,2008-10-20-remarks-belton-missouri,rep,2008,2008rep,McCain,"Fight for justice and opportunity for all. Stand up to defend our country from its enemies. Stand up, stand up, stand up and fight. America is worth fighting for. Nothing is inevitable here. We never give up. We never quit. We never hide from history. We make history.",0
ID2666,2012-11-02-rally-lima-ohio,dem,2012,2012dem,Obama,"That's too high a price to pay. That's not bipartisanship. That's not change. That's just surrendering to the same status quo that's hurt middle class families for way too long. And I don't know about you, Ohio, but I'm not ready to give up on the fight. I may have gotten grayer, but I'm still determined. I'm determined to help working families all across Ohio. I'm determined to build ladders of opportunity for folks who are having a hard time, but want to get into that middle class.",1
